id,username,created_at,lng,lat,text
1517602794043236353,sazzyboatright,Fri Apr 22 20:34:36 +0000 2022,-73.9487755,40.655138,@TheyAreBrandon Where is mine
1517602793657413634,uwmurec,Fri Apr 22 20:34:36 +0000 2022,-87.88231,43.078875,group x workouts &gt;&gt;&gt; https://t.co/anbljmemhh
1517602794714415108,lil_peedi203,Fri Apr 22 20:34:36 +0000 2022,-72.7502315,41.762316999999996,sometimes even ya own family don’t care if you doin good or bad
1517602794718519297,mfdash,Fri Apr 22 20:34:36 +0000 2022,-98.5406515,29.417501,@timmhotep That video he posted of the original listening party the average age was 45 and average skin color was pale
1517602795804934145,Panthera_Onca6,Fri Apr 22 20:34:36 +0000 2022,-87.732013,41.8335845,@KenWo4LiFe has more tools than Tim Taylor
1517602800515133440,scottymax,Fri Apr 22 20:34:37 +0000 2022,-76.934487,38.9969705,"I'd like to think that most people don't see voters' tendencies as so one-dimensional, but hey, I'd like to think a lot of things."
1517602800364142596,Eben_Ik,Fri Apr 22 20:34:37 +0000 2022,-75.117998,40.0048655,"Yes there are leaks normally, no these ones aren’t leaks, it’s always shitty unknown journalists and all, coming to… https://t.co/jAHm9uIV6S"
1517602800955531266,AngryBlackLady,Fri Apr 22 20:34:38 +0000 2022,-105.11221649999999,40.1659305,"I went back to Boulder to get my toolbox and I got everything but the goddamn toolbox—making me, in fact, the toolbox"
1517602800968085504,DugarBop,Fri Apr 22 20:34:38 +0000 2022,-76.614,39.2944,🤪😅😆😂🤣#Friday #FridayFunnies #FuckedUpFriday #FuckedUp #Me #HalfRetarded  #Silly #Funny #Hilarious #Single… https://t.co/gVfCj38tta
1517602801496428544,ArctiChriss,Fri Apr 22 20:34:38 +0000 2022,-119.827182,39.512436,Why is it so expensive to register your car in nevada 😩
1517602801353994243,TokeSignals,Fri Apr 22 20:34:38 +0000 2022,-92.13127399999999,34.7519365,Deeply unsatisfactory.
1517602801718902784,syopp98,Fri Apr 22 20:34:38 +0000 2022,-80.926628,33.6311395,College bossed me up &amp; gave me confidence but never did I think niggas would be dehydrated over me.. not even thirs… https://t.co/X2e9P7M96P
1517602803744710657,legz2sexy,Fri Apr 22 20:34:38 +0000 2022,-96.6021425,32.7749375,@KingLuba_9 Aww really lol
1517602805120487424,BakuninyKarla,Fri Apr 22 20:34:39 +0000 2022,-73.9487755,40.655138,@LiamMcIlvanney Love it!
1517602805908922368,itskeylinda,Fri Apr 22 20:34:39 +0000 2022,-96.7617535,32.819858499999995,@The_iLL_Yanna Yes plz share it lol help me 🥲
1517602806307381249,SteelersGuy91,Fri Apr 22 20:34:39 +0000 2022,-83.804475,27.698681999999998,@TheMicDr Safe
1517602808748548097,gabebearsox3435,Fri Apr 22 20:34:39 +0000 2022,-87.732013,41.8335845,@koolking83 @whatsuplizard You turn me  vs her lmao 🤣
1517602808844853249,merry_shai,Fri Apr 22 20:34:39 +0000 2022,-117.21791999999999,33.921924000000004,"@jrpsf @TheDailyShow Exactly, so how is it the media's fault when Netflix themselves announced it and basically lai… https://t.co/o0AFlAKLIT"
1517602809159503874,misslaurasmith,Fri Apr 22 20:34:40 +0000 2022,-96.7349005,33.061242500000006,The cross examination of Johnny Depp is pure entertainment.😂  It’s like Fear and Loathing in Las Vegas. #JusticeForJohnnyDepp
1517602808458997760,navhazard88,Fri Apr 22 20:34:39 +0000 2022,-122.6557945,47.4939445,I understand the racial insensitivity of the Cleveland Baseball franchise but “The Guardians.” Makes them sound l… https://t.co/fUTkZh4qua
1517602810401071110,HatefulJosh,Fri Apr 22 20:34:40 +0000 2022,-96.7617535,32.819858499999995,"@erinefraser I'm constantly bummed out about how few films are subtitles on these apps, too"
1517602809935544320,SACTeachLearn,Fri Apr 22 20:34:40 +0000 2022,-98.496855,29.445198,Thank you @drcriss_salinas for this wonderful session you presented this afternoon.SAC Faculty Friday | What is L… https://t.co/UoFptlqqAL
1517602813169180675,Jasmine_M00N,Fri Apr 22 20:34:41 +0000 2022,-117.7823605,33.689732,@GoldenboyFTW Is that Moon Knight? 🌙😂✌🏻 https://t.co/tuEoQ0c7QY
1517602813970366464,litlakota,Fri Apr 22 20:34:41 +0000 2022,-100.247165,44.2125075,Happy Earth day 🏞🌲🌎
1517602814876258304,marcilovess,Fri Apr 22 20:34:41 +0000 2022,-112.12467649999999,33.5528625,@imraenaa @mstrdstructrknj You guys live together 😂
1517602815203590149,SevyyJR,Fri Apr 22 20:34:41 +0000 2022,-79.9135205,43.2606955,ALCARAZ IS THE FUTURE!!
1517602815174189057,ChristinaECole,Fri Apr 22 20:34:41 +0000 2022,-72.5568,41.35779,I love what our local nursery has done with their place! It makes you want to spend some time there! I couldn’t fin… https://t.co/tM9nlOURD6
1517602815790620673,JoeyStillBangs,Fri Apr 22 20:34:41 +0000 2022,-119.6371555,36.331343000000004,"Pain. Please just sell the team, Bob."
1517602817061670912,Rotruck5670,Fri Apr 22 20:34:41 +0000 2022,-85.1700515,41.086917,Time to kick all Rhinos to the curb and replace them with True Patriot’s!
1517602817686446080,straitarrow10,Fri Apr 22 20:34:42 +0000 2022,-120.882482,47.273022,"Thank the Good Lord for Rep. Raskin, Liz Chaney, Adam Kinzinger, etc., to keep on walking up the hill and investiga… https://t.co/dVZ2zJuXwZ"
1517602817975853056,HoopsNBrews,Fri Apr 22 20:34:42 +0000 2022,-118.4119065,34.0207895,Bringing Ben Simmons back mid series is kinda risky to me but I feel em.-Pavy
1517602818168786944,DjDirtyDave,Fri Apr 22 20:34:42 +0000 2022,-111.8998045,40.706168,@DjSteveC_ @Bankroll_boxer Let’s go somewhere else 😈
1517602818282205185,SesameSwallow,Fri Apr 22 20:34:42 +0000 2022,-76.62048200000001,39.284712999999996,@KerriBeth8 Iced caramel macchiato is the way to go
1517602817397215234,WilliamCourtla1,Fri Apr 22 20:34:42 +0000 2022,-80.2739375,43.147571,"@jleefilm You need to get beat, get battered, and bruised, some times even held down, but once your through it all,… https://t.co/GMSBlfSQMM"
1517602819678818305,NoirLuv1,Fri Apr 22 20:34:42 +0000 2022,-95.44648649999999,29.838495,Y’all— this man driiiiiiiives me insane! 😍😍😍
1517602819997675520,blatina_goddess,Fri Apr 22 20:34:42 +0000 2022,-83.1738665,32.6782075,My mom &amp; granny den came in town to visit me for my birthday 🥳 my man all excited to meet them tomorrow…this the fi… https://t.co/3NbZSX0NOI
1517602820958167042,DDtch33,Fri Apr 22 20:34:42 +0000 2022,-75.3817475,40.0947845,@itsStephGee @mmmeghan Did you know she lives in Rittenhouse Square?
1517602820106690560,dollyDOOM,Fri Apr 22 20:34:42 +0000 2022,-83.804475,27.698681999999998,want to get a copper distiller and run some magnolia flowers. Magnolia essentials oil rich in linalool &amp; beta-caryo… https://t.co/cm0jUiHLoo
1517602823877275648,joeyxnoir,Fri Apr 22 20:34:43 +0000 2022,-118.36964499999999,34.0870095,i’m starting to lightweight fw tequilaion like that shìt bro wtf
1517602824326160390,TheBeckAsHeck,Fri Apr 22 20:34:43 +0000 2022,-80.0517365,41.061558000000005,@tryguys how many retweets to do a video of the guys entering a smash tournament
1517602823705350146,MatoroIgnika,Fri Apr 22 20:34:43 +0000 2022,-80.680219,28.524919,Swiggity swooty it’s dat shuttle booty. #Shuttlebutt https://t.co/keWOgdaL4Q
1517602824607211520,ICPDActivityBot,Fri Apr 22 20:34:43 +0000 2022,-91.53706199999999,41.6473535,VERY LOUD AND ANNOYING -- NO CIVILIAN SHOULD BE LIVING UNDER THESE CONDITIONS#22057164
1517602825181691904,NaveedAJamali,Fri Apr 22 20:34:43 +0000 2022,-73.9685415,40.780709,"#breaking @OlivetU is the subject of a ""complex and significant"" federal inv involving human &amp; labor trafficking. T… https://t.co/g4cqpfK3hi"
1517602824300945409,KWColumbiaSC,Fri Apr 22 20:34:43 +0000 2022,-81.3727224,34.1094038,See a virtual tour of one of our newest #listings 348 Night Harbor Drive #Chapin #SC  https://t.co/0YRTR89cdv  Bren… https://t.co/AFYv7wzToF
1517602826905608193,NaveedAJamali,Fri Apr 22 20:34:44 +0000 2022,-73.9685415,40.780709,At least four federal and local agencies are investigating @OlivetU. @hsi confirmed to Newsweek that a search warra… https://t.co/uI3UbG5z0j
